Material,Plant,Task List Type,Group,Group Counter,Valid From,Short Text,Language Key,Deletion Indicator,Base Quantity,Act./Operation UoM,Standard Value,Standard value unit,Standard Value2,Standard value unit3,Standard Value4,Standard value unit5,User field quantity,User field quantity6,Setup group category,Work center,Relevant
200479,0280,2,0280_BP1,A5,41275,"BPETP3_VIO_Still_1,5l_Chep",,,100,CS,30,MIN,60,,300,,150,150,,BPETP3,
202290,0280,2,0280_BP1,C1,42005,"BPETP2_VIOBiO_1,0l_LEMON",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
202294,0280,2,0280_BP1,C2,42005,"BPETP2_VIOBiO_1,0l_Orange",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
202297,0280,2,0280_BP1,C3,42005,"BPETP2_VIOBio_0,5l_Lemon",,,1650,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
202292,0280,2,0280_BP1,C4,42005,"BPETP2_VIOBio_0,5l_Orange",,,1650,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
202673,0280,2,0280_BP1,D1,42736,"BPETP2_VIOBiO_1,0l_Z/LM",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
202676,0280,2,0280_BP1,D2,42736,"BPETP2_VIOBio_0,5l_ZiLiMi",,,1650,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
202672,0280,2,0280_BP1,D5,42736,"BPETP2_VIOBiO_1,0l_OMP",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
202726,0280,2,0280_BP1,E1,42736,"BPETP3_VIO_SPR_0,5l_Shrink",,,1777,CS,30,MIN,60,,300,,2222,2222,,BPETP3,
202723,0280,2,0280_BP1,E2,42736,"BPETP3_VIO_Still_1,0l_Shrink",,,4000,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202725,0280,2,0280_BP1,E4,42736,"BPETP3_VIO_MED_1,0l_Shrink",,,4000,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202723,0280,2,0280_BP1,E5,42736,"BPETP4_VIO_Still_1,0l_Shrink",,,2600,CS,0,MIN,60,,300,,4333,4333,,BPETP4,
202919,0280,2,0280_BP1,E8,43101,"BPETP2_VIOBiO_1,0l_Kräuter",,,5500,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
202918,0280,2,0280_BP1,E9,43101,"BPETP2_VIOBio_1,0l_Ingwer",,,6000,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
203075,0280,2,0280_BP1,F2,43466,"BPETP2_VIOBio_1,0l_Gurke",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
203076,0280,2,0280_BP1,F3,43466,"BPETP2_VIOBio_0,5l_Gurke",,,1750,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
203258,0280,2,0280_BP1,F5,43831,"BPETP2_VIOBio_0,5l_Dark Berry",,,1750,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
203260,0280,2,0280_BP1,F7,43831,"BPETP2_VIOBio_1,0l_Dark Berry",,,6000,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
13010812,0280,2,0280_SY1,56,43101,"ViO_Bio_ING_1+4,4_PA-006",,,1,L,,,,,,,0,0,,,
203230,0280,2,0280_BP1,F8,43831,"BPETP2_VIOBio_0,5l_Apfelschorle",,,1650,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
203441,0280,2,0280_BP1,F9,43831,"BPETP2_VIOBio_0,5l_Dark Berry Full Sugar",,,1650,CS,0,MIN,60,,300,,2222,2222,,BPETP2,
203439,0280,2,0280_BP1,G1,43831,"BPETP2_VIOBio_1,0l_Dark Berry Full Sugar",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
203440,0280,2,0280_BP1,G2,43831,"BPETP2_VIOBio_1,0l_HOLBLÜ  FTNF",,,6150,CS,0,MIN,60,,300,,9500,9500,,BPETP2,
